ORs,Weekday,Week Number,Block,Beds,Surgeon ID
14,4,2,"(d4,o14)",6,56
14,4,3,"(d4,o14)",7,93
14,4,4,"(d4,o14)",6,64
14,5,1,"(d5,o14)",6,21
14,5,2,"(d5,o14)",7,87
14,5,3,"(d5,o14)",6,17
14,5,4,"(d5,o14)",6,70
14,6,1,"(d6,o14)",6,75
14,6,2,"(d6,o14)",6,62
14,6,3,"(d6,o14)",5,99
14,6,4,"(d6,o14)",6,70
14,7,1,"(d7,o14)",5,91
14,7,2,"(d7,o14)",5,38
14,7,3,"(d7,o14)",7,78
14,7,4,"(d7,o14)",5,69
15,1,1,"(d1,o15)",6,21
15,1,2,"(d1,o15)",5,75
15,1,3,"(d1,o15)",6,21
15,1,4,"(d1,o15)",6,94
15,2,1,"(d2,o15)",7,23
15,2,2,"(d2,o15)",6,88
15,2,3,"(d2,o15)",6,92
15,2,4,"(d2,o15)",8,19
15,3,1,"(d3,o15)",7,16
15,3,2,"(d3,o15)",6,1
15,3,3,"(d3,o15)",6,75
15,3,4,"(d3,o15)",6,19
15,4,1,"(d4,o15)",6,20
15,4,2,"(d4,o15)",6,56
15,4,3,"(d4,o15)",7,93
15,4,4,"(d4,o15)",6,64
15,5,1,"(d5,o15)",6,21
15,5,2,"(d5,o15)",6,87
15,5,3,"(d5,o15)",6,17
15,5,4,"(d5,o15)",6,70
15,6,1,"(d6,o15)",7,75
15,6,2,"(d6,o15)",6,62
15,6,3,"(d6,o15)",6,99
15,6,4,"(d6,o15)",5,70
15,7,1,"(d7,o15)",5,91
15,7,2,"(d7,o15)",5,38
15,7,3,"(d7,o15)",5,78
15,7,4,"(d7,o15)",5,69
16,1,1,"(d1,o16)",6,21
16,1,2,"(d1,o16)",6,75
16,1,3,"(d1,o16)",6,21
16,1,4,"(d1,o16)",6,94
16,2,1,"(d2,o16)",6,23
16,2,2,"(d2,o16)",6,88
16,2,3,"(d2,o16)",7,92
16,2,4,"(d2,o16)",7,19
16,3,1,"(d3,o16)",7,16
16,3,2,"(d3,o16)",6,1
16,3,3,"(d3,o16)",7,75
16,3,4,"(d3,o16)",8,19
16,4,1,"(d4,o16)",6,20
16,4,2,"(d4,o16)",6,56
16,4,3,"(d4,o16)",6,93
16,4,4,"(d4,o16)",7,64
16,5,1,"(d5,o16)",6,21
16,5,2,"(d5,o16)",6,87
16,5,3,"(d5,o16)",7,17
16,5,4,"(d5,o16)",6,70
16,6,1,"(d6,o16)",6,75
16,6,2,"(d6,o16)",7,62
16,6,3,"(d6,o16)",6,99
16,6,4,"(d6,o16)",6,70
16,7,1,"(d7,o16)",5,91
16,7,2,"(d7,o16)",5,38
16,7,3,"(d7,o16)",6,78
16,7,4,"(d7,o16)",5,69
17,1,1,"(d1,o17)",7,21
17,1,2,"(d1,o17)",6,75
17,1,3,"(d1,o17)",7,21
17,1,4,"(d1,o17)",6,94
17,2,1,"(d2,o17)",6,23
17,2,2,"(d2,o17)",6,88
17,2,3,"(d2,o17)",6,92
17,2,4,"(d2,o17)",6,19
17,3,1,"(d3,o17)",7,16
17,3,2,"(d3,o17)",7,1
17,3,3,"(d3,o17)",6,75
17,3,4,"(d3,o17)",7,19
17,4,1,"(d4,o17)",6,20
17,4,2,"(d4,o17)",7,56
17,4,3,"(d4,o17)",7,93
17,4,4,"(d4,o17)",6,64
17,5,1,"(d5,o17)",6,21
17,5,2,"(d5,o17)",7,87
17,5,3,"(d5,o17)",6,17
17,5,4,"(d5,o17)",6,70
17,6,1,"(d6,o17)",6,75
17,6,2,"(d6,o17)",5,62
17,6,3,"(d6,o17)",5,99
17,6,4,"(d6,o17)",5,70
17,7,1,"(d7,o17)",6,91
17,7,2,"(d7,o17)",6,38
17,7,3,"(d7,o17)",5,78
17,7,4,"(d7,o17)",5,69
18,1,1,"(d1,o18)",8,21
18,1,2,"(d1,o18)",7,75
18,1,3,"(d1,o18)",6,21
18,1,4,"(d1,o18)",6,94
18,2,1,"(d2,o18)",6,23
18,2,2,"(d2,o18)",7,88
18,2,3,"(d2,o18)",6,92
18,2,4,"(d2,o18)",6,19
18,3,1,"(d3,o18)",6,16
18,3,2,"(d3,o18)",6,1
18,3,3,"(d3,o18)",7,75
18,3,4,"(d3,o18)",6,19
18,4,1,"(d4,o18)",8,20
18,4,2,"(d4,o18)",6,56
18,4,3,"(d4,o18)",6,93
18,4,4,"(d4,o18)",7,64
18,5,1,"(d5,o18)",6,21
18,5,2,"(d5,o18)",6,87
18,5,3,"(d5,o18)",6,17
18,5,4,"(d5,o18)",6,70
18,6,1,"(d6,o18)",5,75
18,6,2,"(d6,o18)",6,62
18,6,3,"(d6,o18)",5,99
18,6,4,"(d6,o18)",6,70
18,7,1,"(d7,o18)",5,91
18,7,2,"(d7,o18)",5,38
18,7,3,"(d7,o18)",5,78
18,7,4,"(d7,o18)",6,69
19,1,1,"(d1,o19)",5,21
19,1,2,"(d1,o19)",6,75
19,1,3,"(d1,o19)",6,21
19,1,4,"(d1,o19)",6,94
19,2,1,"(d2,o19)",6,23
19,2,2,"(d2,o19)",7,88
19,2,3,"(d2,o19)",7,92
19,2,4,"(d2,o19)",8,19
19,3,1,"(d3,o19)",6,16
19,3,2,"(d3,o19)",6,1
19,3,3,"(d3,o19)",6,75
19,3,4,"(d3,o19)",6,19
19,4,1,"(d4,o19)",7,20
19,4,2,"(d4,o19)",8,56
19,4,3,"(d4,o19)",6,93
19,4,4,"(d4,o19)",6,64
19,5,1,"(d5,o19)",6,21
19,5,2,"(d5,o19)",6,87
19,5,3,"(d5,o19)",6,17
19,5,4,"(d5,o19)",6,70
19,6,1,"(d6,o19)",6,75
19,6,2,"(d6,o19)",5,62
19,6,3,"(d6,o19)",6,99
19,6,4,"(d6,o19)",7,70
19,7,1,"(d7,o19)",6,91
19,7,2,"(d7,o19)",5,38
19,7,3,"(d7,o19)",5,78
19,7,4,"(d7,o19)",5,69
20,1,1,"(d1,o20)",6,21
20,1,2,"(d1,o20)",5,75
20,1,3,"(d1,o20)",6,21
20,1,4,"(d1,o20)",6,94
20,2,1,"(d2,o20)",6,23
20,2,2,"(d2,o20)",6,88
20,2,3,"(d2,o20)",6,92
20,2,4,"(d2,o20)",6,19
20,3,1,"(d3,o20)",6,16
20,3,2,"(d3,o20)",6,1
20,3,3,"(d3,o20)",7,75
20,3,4,"(d3,o20)",6,19
20,4,1,"(d4,o20)",7,20
20,4,2,"(d4,o20)",7,56
20,4,3,"(d4,o20)",8,93
20,4,4,"(d4,o20)",7,64
20,5,1,"(d5,o20)",7,21
20,5,2,"(d5,o20)",6,87
20,5,3,"(d5,o20)",6,17
20,5,4,"(d5,o20)",6,70
20,6,1,"(d6,o20)",6,75
20,6,2,"(d6,o20)",5,62
20,6,3,"(d6,o20)",5,99
20,6,4,"(d6,o20)",5,70
20,7,1,"(d7,o20)",5,91
20,7,2,"(d7,o20)",6,38
20,7,3,"(d7,o20)",5,78
20,7,4,"(d7,o20)",5,69
21,1,1,"(d1,o21)",5,21
21,1,2,"(d1,o21)",5,75
21,1,3,"(d1,o21)",6,21
21,1,4,"(d1,o21)",6,94
21,2,1,"(d2,o21)",6,23
21,2,2,"(d2,o21)",6,88
21,2,3,"(d2,o21)",7,92
21,2,4,"(d2,o21)",7,19
21,3,1,"(d3,o21)",6,16
21,3,2,"(d3,o21)",7,1
21,3,3,"(d3,o21)",6,75
21,3,4,"(d3,o21)",6,19
21,4,1,"(d4,o21)",6,20
21,4,2,"(d4,o21)",7,56
21,4,3,"(d4,o21)",7,93
21,4,4,"(d4,o21)",6,64
21,5,1,"(d5,o21)",6,21
21,5,2,"(d5,o21)",6,87
21,5,3,"(d5,o21)",6,17
21,5,4,"(d5,o21)",6,70
21,6,1,"(d6,o21)",5,75
21,6,2,"(d6,o21)",5,62
21,6,3,"(d6,o21)",5,99
21,6,4,"(d6,o21)",6,70
21,7,1,"(d7,o21)",6,91
21,7,2,"(d7,o21)",5,38
21,7,3,"(d7,o21)",6,78
21,7,4,"(d7,o21)",5,69
22,1,1,"(d1,o22)",6,21
22,1,2,"(d1,o22)",8,75
22,1,3,"(d1,o22)",5,21
22,1,4,"(d1,o22)",6,94
22,2,1,"(d2,o22)",7,23
22,2,2,"(d2,o22)",6,88
22,2,3,"(d2,o22)",7,92
22,2,4,"(d2,o22)",6,19
22,3,1,"(d3,o22)",7,16
22,3,2,"(d3,o22)",6,1
22,3,3,"(d3,o22)",6,75
22,3,4,"(d3,o22)",6,19
22,4,1,"(d4,o22)",7,20
22,4,2,"(d4,o22)",6,56
22,4,3,"(d4,o22)",6,93
22,4,4,"(d4,o22)",6,64
22,5,1,"(d5,o22)",6,21
22,5,2,"(d5,o22)",6,87
22,5,3,"(d5,o22)",6,17
22,5,4,"(d5,o22)",6,70
22,6,1,"(d6,o22)",5,75
22,6,2,"(d6,o22)",6,62
22,6,3,"(d6,o22)",5,99
22,6,4,"(d6,o22)",5,70
22,7,1,"(d7,o22)",5,91
22,7,2,"(d7,o22)",5,38
22,7,3,"(d7,o22)",6,78
22,7,4,"(d7,o22)",5,69
23,1,1,"(d1,o23)",5,21
23,1,2,"(d1,o23)",5,75
23,1,3,"(d1,o23)",7,21
23,1,4,"(d1,o23)",6,94
23,2,1,"(d2,o23)",6,23
23,2,2,"(d2,o23)",6,88
23,2,3,"(d2,o23)",6,92
23,2,4,"(d2,o23)",6,19
23,3,1,"(d3,o23)",7,16
23,3,2,"(d3,o23)",7,1
23,3,3,"(d3,o23)",6,75
23,3,4,"(d3,o23)",7,19
23,4,1,"(d4,o23)",6,20
23,4,2,"(d4,o23)",6,56
23,4,3,"(d4,o23)",6,93
23,4,4,"(d4,o23)",7,64
23,5,1,"(d5,o23)",7,21
23,5,2,"(d5,o23)",6,87
23,5,3,"(d5,o23)",6,17
23,5,4,"(d5,o23)",7,70
23,6,1,"(d6,o23)",6,75
23,6,2,"(d6,o23)",6,62
23,6,3,"(d6,o23)",5,99
23,6,4,"(d6,o23)",6,70
23,7,1,"(d7,o23)",5,91
23,7,2,"(d7,o23)",5,38
23,7,3,"(d7,o23)",5,78
23,7,4,"(d7,o23)",6,69
24,1,1,"(d1,o24)",6,21
24,1,2,"(d1,o24)",5,75
24,1,3,"(d1,o24)",5,21
24,1,4,"(d1,o24)",6,94
24,2,1,"(d2,o24)",6,23
24,2,2,"(d2,o24)",6,88
24,2,3,"(d2,o24)",6,92
24,2,4,"(d2,o24)",7,19
24,3,1,"(d3,o24)",6,16
24,3,2,"(d3,o24)",8,1
24,3,3,"(d3,o24)",7,75
24,3,4,"(d3,o24)",7,19
24,4,1,"(d4,o24)",6,20
24,4,2,"(d4,o24)",6,56
24,4,3,"(d4,o24)",6,93
24,4,4,"(d4,o24)",6,64
24,5,1,"(d5,o24)",6,21
24,5,2,"(d5,o24)",6,87
24,5,3,"(d5,o24)",6,17
24,5,4,"(d5,o24)",6,70
24,6,1,"(d6,o24)",6,75
24,6,2,"(d6,o24)",5,62
24,6,3,"(d6,o24)",6,99
24,6,4,"(d6,o24)",6,70
24,7,1,"(d7,o24)",5,91
24,7,2,"(d7,o24)",6,38
24,7,3,"(d7,o24)",5,78
24,7,4,"(d7,o24)",5,69
25,1,1,"(d1,o25)",5,21
25,1,2,"(d1,o25)",6,75
25,1,3,"(d1,o25)",7,21
25,1,4,"(d1,o25)",6,94
25,2,1,"(d2,o25)",6,23
25,2,2,"(d2,o25)",6,88
25,2,3,"(d2,o25)",6,92
25,2,4,"(d2,o25)",7,19
25,3,1,"(d3,o25)",7,16
25,3,2,"(d3,o25)",7,1
25,3,3,"(d3,o25)",6,75
25,3,4,"(d3,o25)",6,19
25,4,1,"(d4,o25)",6,20
25,4,2,"(d4,o25)",6,56
25,4,3,"(d4,o25)",6,93
25,4,4,"(d4,o25)",6,64
25,5,1,"(d5,o25)",6,21
25,5,2,"(d5,o25)",6,87
25,5,3,"(d5,o25)",7,17
25,5,4,"(d5,o25)",6,70
25,6,1,"(d6,o25)",5,75
25,6,2,"(d6,o25)",5,62
25,6,3,"(d6,o25)",6,99
25,6,4,"(d6,o25)",5,70
25,7,1,"(d7,o25)",5,91
25,7,2,"(d7,o25)",5,38
25,7,3,"(d7,o25)",5,78
25,7,4,"(d7,o25)",6,69
26,1,1,"(d1,o26)",5,21
26,1,2,"(d1,o26)",7,75
26,1,3,"(d1,o26)",5,21
26,1,4,"(d1,o26)",6,94
26,2,1,"(d2,o26)",6,23
26,2,2,"(d2,o26)",6,88
26,2,3,"(d2,o26)",7,92
26,2,4,"(d2,o26)",6,19
26,3,1,"(d3,o26)",6,16
26,3,2,"(d3,o26)",6,1
26,3,3,"(d3,o26)",6,75
26,3,4,"(d3,o26)",6,19
26,4,1,"(d4,o26)",7,20
26,4,2,"(d4,o26)",6,56
26,4,3,"(d4,o26)",6,93
26,4,4,"(d4,o26)",6,64
26,5,1,"(d5,o26)",6,21
26,5,2,"(d5,o26)",8,87
26,5,3,"(d5,o26)",7,17
26,5,4,"(d5,o26)",6,70
26,6,1,"(d6,o26)",5,75
26,6,2,"(d6,o26)",5,62
26,6,3,"(d6,o26)",5,99
26,6,4,"(d6,o26)",5,70
26,7,1,"(d7,o26)",6,91
26,7,2,"(d7,o26)",5,38
26,7,3,"(d7,o26)",5,78
26,7,4,"(d7,o26)",5,69
27,1,1,"(d1,o27)",8,21
27,1,2,"(d1,o27)",5,75
27,1,3,"(d1,o27)",6,21
27,1,4,"(d1,o27)",6,94
27,2,1,"(d2,o27)",8,23
